world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
1,Harvard University,USA,1,7,9,1,1,1,1,,5,100,2012
2,Massachusetts Institute of Technology,USA,2,9,17,3,12,4,4,,1,91.67,2012
3,Stanford University,USA,3,17,11,5,4,2,2,,15,89.5,2012
4,University of Cambridge,United Kingdom,1,10,24,4,16,16,11,,50,86.17,2012
5,California Institute of Technology,USA,4,2,29,7,37,22,22,,18,85.21,2012
6,Princeton University,USA,5,8,14,2,53,33,26,,101,82.5,2012
7,University of Oxford,United Kingdom,2,13,28,9,15,13,19,,26,82.34,2012
8,Yale University,USA,6,14,31,12,14,6,15,,66,79.14,2012
9,Columbia University,USA,7,23,21,10,13,12,14,,5,78.86,2012
10,"University of California, Berkeley",USA,8,16,52,6,6,5,3,,16,78.55,2012
1,Harvard University,USA,1,1,1,1,1,1,1,,7,100,2013
2,Stanford University,USA,2,11,2,4,6,2,2,,11,93.94,2013
3,University of Oxford,United Kingdom,1,7,12,10,11,7,13,,15,92.54,2013
4,Massachusetts Institute of Technology,USA,3,2,16,2,16,3,3,,1,91.45,2013
5,University of Cambridge,United Kingdom,2,3,15,5,9,11,10,,39,90.24,2013
6,Columbia University,USA,4,13,8,9,13,9,11,,10,88.21,2013
7,"University of California, Berkeley",USA,5,6,28,6,8,6,4,,19,85.07,2013
8,Princeton University,USA,6,4,14,3,58,35,27,,101,82.17,2013
10,Yale University,USA,8,10,25,13,20,12,22,,42,78.83,2013
11,California Institute of Technology,USA,9,5,101,7,38,24,25,,17,77.59,2013
1,Harvard University,USA,1,1,1,1,1,1,1,1,2,100,2014
2,Stanford University,USA,2,11,2,4,5,3,3,4,6,99.09,2014
3,Massachusetts Institute of Technology,USA,3,3,11,2,15,2,2,2,1,98.69,2014
4,University of Cambridge,United Kingdom,1,2,10,5,10,9,12,13,48,97.64,2014
5,University of Oxford,United Kingdom,2,7,12,10,11,12,11,12,16,97.51,2014
6,Columbia University,USA,4,13,8,9,14,13,9,13,4,97.41,2014
7,"University of California, Berkeley",USA,5,4,22,6,7,4,3,7,28,92.84,2014
9,Princeton University,USA,7,5,16,3,70,25,19,41,204,88.56,2014
10,Yale University,USA,8,9,25,11,18,7,32,19,45,88.11,2014
12,California Institute of Technology,USA,10,6,303,7,48,6,16,24,9,85.5,2014
1,Harvard University,USA,1,1,1,1,1,1,1,1,3,100,2015
2,Stanford University,USA,2,9,2,4,5,3,3,4,10,98.66,2015
3,Massachusetts Institute of Technology,USA,3,3,11,2,15,2,2,2,1,97.54,2015
4,University of Cambridge,United Kingdom,1,2,10,5,11,6,12,13,48,96.81,2015
5,University of Oxford,United Kingdom,2,7,13,10,7,12,7,9,15,96.46,2015
6,Columbia University,USA,4,13,6,9,13,13,11,12,4,96.14,2015
7,"University of California, Berkeley",USA,5,5,21,6,10,4,4,7,29,92.25,2015
9,Princeton University,USA,7,4,15,3,72,25,24,33,225,89.42,2015
11,Yale University,USA,9,10,26,11,18,8,35,20,49,86.61,2015
12,California Institute of Technology,USA,10,6,328,7,53,9,19,25,13,84.4,2015
